FRASES;ARG1;REL;ARG2;Estrutura ARG1;Estrutura relacionador;Estrutura ARG2;status;;;;;;;;;;;;;;;;;;
A universidade é a sede principal da Congregação da Santa Cruz (embora não seja sua sede oficial, que fica em Roma);A universidade;é;a sede da congregação da Santa cruz;Det N;V;Det N ADP det N ADP det PropN;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
A universidade é afiliada à Congregação da Santa Cruz (em latim Congregatio a Sancta Cruce, pós-nominais abreviados;A universidade;é;afiliada à congregação da santa cruz;Det N;V;adj ADP det N ADP det Propn;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
Michael J. Shea, formado em 1904, escreveu a música, e seu irmão, John F. Shea, que se formou em 1906 e 1908, escreveu a letra original.;Michael J. Shea ;escreveu ;a música;PropN;V;Det N;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
Michael J. Shea, formado em 1904, escreveu a música, e seu irmão, John F. Shea, que se formou em 1906 e 1908, escreveu a letra original.;John F. Shea;se formou;em 1908;PropN;pron V;ADP Num;Extração sugerida por Rerisson;;;;;;;;;;;;;;;;;;
A Universidade de Notre Dame du Lac (ou simplesmente Notre Dame / ˌnoʊtərˈdeɪm / NOH-tər-DAYM) é uma Universidade Católica de Pesquisa localizada ao lado de South Bend, Indiana, nos Estados Unidos.;A Universidade de Notre dame;é;uma Universidade Católica de Pesquisa;det N ADP PropN;V;det N adj ADP det N;EXTRAÇÃO VÁLIDA;;;;;;;;;;;;;;;;;;
Em fevereiro de 2013, Beyoncé disse que Madonna a inspirou a assumir o controle de sua própria carreira.;Beyoncé;disse;que Madonna a inspirou;PropN;V;conj PropN ADP det v;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"Em 20 de janeiro de 2009, Beyoncé apresentou \""At Last\"", de James, no primeiro baile inaugural do primeiro casal. ";Beyoncé  ;apresentou ;"""At Last\"" no primeiro baile inaugural do primeiro casal.";PropN;V;punct adv det punct adj N adj ADP det adj N;EXTRAÇÃO VÁLIDA;;;;;;;;;;;;;;;;;;
Quando O guardião nomeou seu Artista da Década, Llewyn-Smith escreveu “Por que Beyoncé?”;Llewyn Smith;escreveu ;Por que Beyoncé ;PropN;V;Punct adv PropN punct punct;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"Em 2013, Beyoncé fez a Lista do tempo 100, Baz Luhrmann escrevendo \""ninguém tem essa voz, ninguém se move do jeito que ela se move, ninguém pode manter uma audiência do jeito que ela faz ... Quando Beyoncé faz um álbum, quando Beyoncé canta uma música, quando Beyoncé faz qualquer coisa, é um evento e é amplamente influente.";Beyoncé ;fez ;a lista do tempo 100;PropN;V;Det N ADP det N Num ADP Num;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"Em 2013, Beyoncé fez a Lista do tempo 100, Baz Luhrmann escrevendo \""ninguém tem essa voz, ninguém se move do jeito que ela se move, ninguém pode manter uma audiência do jeito que ela faz ... Quando Beyoncé faz um álbum, quando Beyoncé canta uma música, quando Beyoncé faz qualquer coisa, é um evento e é amplamente influente.";Beyoncé;faz;um album;PropN;V;Det N;EXTRAÇÃO SUGERIDA ;;;;;;;;;;;;;;;;;;
"Em 2013, Beyoncé fez a Lista do tempo 100, Baz Luhrmann escrevendo \""ninguém tem essa voz, ninguém se move do jeito que ela se move, ninguém pode manter uma audiência do jeito que ela faz ... Quando Beyoncé faz um álbum, quando Beyoncé canta uma música, quando Beyoncé faz qualquer coisa, é um evento e é amplamente influente.";Beyoncé;canta;uma música;PropN;V;Det N;EXTRAÇÃO SUGERIDA ;;;;;;;;;;;;;;;;;;
